date,sales_diff
2015-02-01,4513.0
2015-03-01,157965.0
2015-04-01,64892.0
2015-05-01,80968.0
2015-06-01,32355.0
2015-07-01,60325.0
2015-08-01,-89161.0
2015-09-01,-76854.0
2015-10-01,-33320.0
2015-11-01,36056.0
2015-12-01,-186036.0
2016-01-01,19380.0
2016-02-01,3130.0
2016-03-01,175184.0
2016-04-01,84613.0
2016-05-01,93963.0
2016-06-01,23965.0
2016-07-01,82168.0
2016-08-01,-103414.0
2016-09-01,-100472.0
2016-10-01,-26241.0
2016-11-01,41900.0
2016-12-01,-222735.0
2017-01-01,-25535.0
2017-02-01,-1196.0
2017-03-01,179634.0
2017-04-01,93516.0
2017-05-01,102435.0
2017-06-01,10282.0
2017-07-01,100166.0
2017-08-01,-116949.0
2017-09-01,-97069.0
2017-10-01,-26079.0
2017-11-01,30392.0
2017-12-01,-220073.0
2018-01-01,-5133.0
2018-02-01,-4398.0
2018-03-01,192840.0
2018-04-01,111069.0
2018-05-01,86780.0
2018-06-01,33934.0
2018-07-01,116054.0
2018-08-01,-157224.0
2018-09-01,-84663.0
2018-10-01,-33194.0
2018-11-01,27811.0
2018-12-01,-228037.0
2019-01-01,-46105.0
2019-02-01,4063.0
2019-03-01,201298.0
2019-04-01,116195.0
2019-05-01,81824.0
2019-06-01,43938.0
2019-07-01,106769.0
2019-08-01,-144990.0
2019-09-01,-91140.0
2019-10-01,-44103.0
2019-11-01,37677.0
2019-12-01,-233667.0
